昵称,月连接用户数(W),月深度用户数(W),星图id,内容垂类,粉丝量,60s以上视频报价,男性粉丝比例,24-30岁粉丝比例,31-40岁粉丝比例,41-50岁粉丝比例,50岁以上粉丝比例,星图指数,性价比指数,预期播放量,互动率,完播率,预期CPE,预期CPM,总分,等级
韩景枫51KING,,1770.9,6.81864E+18,汽车,2640844,250000,0.87,0.33,0.29,0.06,0.04,84.61,74.31360713,2495104,0.0143,0.21,7.006728971,100.2,13.1,S级
王一然,,1823.2,6.84297E+18,汽车,2058814,80000,0.74,0.21,0.31,0.11,0.1,80.59,66.64002849,1044404,0.0105,0.0797,7.295115318,76.6,12.1,S级
壬哥说车,,16.6,6.59668E+18,"汽车, 测评",1946785,100000,0.61,0.17,0.41,0.18,0.13,66.55,56.48604502,12005,0.5632,0.01,14.79023892,8329.86,7.7,A级
极速拍档Speedsters,,180.9,7.20059E+18,汽车,1811649,230000,0.92,0.38,0.31,0.05,0.01,76.04,0,241949,0.0732,0.0609,12.98652403,950.61,10.1,S级
汽车兄弟,,693,6.87011E+18,汽车,1860920,50000,0.88,0.37,0.27,0.04,0.01,81.77,70.83596909,602296,0.0134,0.1398,6.195198513,83.02,12.1,S级
韩路聊车,,1111.7,6.8129E+18,汽车,2510717,300000,0.88,0.21,0.45,0.17,0.09,80.64,71.50269811,1339938,0.0115,0.1162,19.4687788,223.89,11.1,S级
你猫哥,,534.7,6.89369E+18,汽车,1890498,60000,0.97,0.46,0.31,0.03,0.01,88.44,90.7346927,743658,0.0162,0.1616,4.980385747,80.68,15.1,S级
小智说车,,112.6,6.87017E+18,汽车,2386227,133000,0.86,0.02,0.06,0.14,0.77,74.34,62.92023537,3569282,0.0071,0.0162,5.248224816,37.26,8,A级
茜子在路上,,36.6,6.95908E+18,汽车,1932717,45000,0.47,0.03,0.08,0.14,0.73,71.56,65.95526888,25561,0.5587,0.0384,3.151055134,1760.49,9.6,A级
此地无垠,,527.8,6.73907E+18,汽车,2302772,200000,0.97,0.29,0.52,0.11,0.03,76.6,66.32654227,574146,0.0219,0.042,15.90609373,348.34,11.1,S级
拜托了老司机,,1316.7,6.86776E+18,汽车,2700876,120000,0.9,0.18,0.48,0.22,0.09,75.98,73.36810902,395392,0.0119,0.1648,25.50388883,303.5,11.6,S级
胖川说车,,7.9,6.84103E+18,汽车,1859221,150000,0.89,0.23,0.44,0.15,0.05,59.25,66.61751543,15285,0.8503,0.0124,11.54127095,9813.54,8.5,A级
车爽爽,,1878.9,6.87784E+18,汽车,2190629,100000,0.95,0.21,0.51,0.17,0.05,89.48,92.92077619,524268,0.0078,0.2068,24.45412045,190.74,12.8,S级
Yuki踩油门,,23.1,6.59668E+18,汽车,2042166,35200,0.3,0.09,0.43,0.22,0.13,59.16,61.0272694,9740,1,0.021,3.613963039,3613.96,7.5,A级
车圈薛可奈,,6.9,6.85201E+18,汽车,2193273,120000,0.75,0.15,0.55,0.23,0.06,56.14,58.9875428,10821,1,0.0152,11.0895481,11089.55,7.5,A级
璇子,,6.4,6.91358E+18,汽车,2024457,120000,0.78,0.26,0.46,0.13,0.03,59.67,66.57269077,15658,1,0.0124,7.663814025,7663.81,9,A级
琦哥玩车,,696,6.78629E+18,汽车,2526073,95000,0.86,0.32,0.38,0.11,0.05,78.32,72.11486946,177282,0.022,0.1382,24.35770026,535.87,9.6,A级
啊龙秒车二手车,,193.1,1.68132E+15,汽车,1806138,49700,0.88,0.33,0.41,0.1,0.07,75.57,70.04053663,363984,0.0109,0.0912,12.527015,136.54,11.6,S级
玩车研究所,,67.3,7.15205E+18,汽车,2053256,35200,0.61,0.01,0.05,0.07,0.86,72.98,67.55535809,32581,0.1947,0.0629,5.548969045,1080.38,9.6,A级
