昵称,月连接用户数(W),月深度用户数(W),星图id,内容垂类,粉丝量,60s以上视频报价,男性粉丝比例,24-30岁粉丝比例,31-40岁粉丝比例,41-50岁粉丝比例,50岁以上粉丝比例,星图指数,性价比指数,预期播放量,互动率,完播率,预期CPE,预期CPM,总分,等级
齐佳的家,,,7.27199E+18,"生活, 科技数码",180953,15800,0.42,0.09,0.39,0.09,0.42,51.51,0,1825,0.9501,0.0188,9.112234761,8657.53,6.5,B级
科技解码,,,6.69962E+18,科技数码,1801361,52300,0.72,0.16,0.41,0.2,0.09,54.98,63.58565154,61858,0.3767,0.0313,2.244451341,845.48,10.8,S级
X科技实验室,,,6.82981E+18,科技数码,1790271,100000,0.92,0.31,0.37,0.08,0.04,74.19,72.18796138,213706,0.0292,0.1119,16.02508837,467.93,10.1,S级
Ty搞机,,,6.74012E+18,科技数码,1742210,32000,0.58,0.13,0.38,0.21,0.21,70.47,67.05180444,15163,0.0873,0.0424,24.17411588,2110.4,10.6,S级
程序员怼怼,,,7.14323E+18,科技数码,1724456,26800,0.76,0.14,0.52,0.24,0.06,83.07,68.50307225,287354,0.0166,0.1556,5.618358649,93.26,12.1,S级
吃拆玩呗,,,6.87016E+18,科技数码,1690340,45000,0.97,0.29,0.45,0.12,0.03,79.63,70.11142129,1027855,0.0133,0.115,3.291766491,43.78,13.6,S级
珂姬与科技,,,7.12319E+18,艺术文化,1678741,21000,0.95,0.23,0.46,0.15,0.05,78.47,75.88141252,271897,0.0157,0.1038,4.919434999,77.24,13.1,S级
Apper,,,6.71005E+18,科技数码,1650524,52000,0.87,0.36,0.27,0.06,0.02,78.75,89.38730744,67339,0.0266,0.0599,29.03053532,772.21,13.6,S级
科技阿童,,,7.25668E+18,"测评, 科技数码",1633449,38000,0.64,0.21,0.36,0.15,0.05,67.53,0,4145,0.1796,0.0155,51.04494373,9167.67,7.6,A级
胖仔,,,6.7424E+18,科技数码,1610430,20700,0.73,0.13,0.37,0.19,0.13,76.56,73.40121501,88002,0.0181,0.0362,12.99568656,235.22,12.1,S级
电器哥梓涵,,,6.86743E+18,科技数码,1595167,100000,0.56,0.22,0.32,0.14,0.29,78.16,72.8386744,98644,0.0276,0.0105,36.72994207,1013.75,8.4,A级
老楊,,,6.75941E+18,科技数码,1558737,20800,0.58,0.12,0.23,0.16,0.09,71.61,68.09909597,97256,0.0497,0.0808,4.303190203,213.87,10.6,S级
马也,,,6.98993E+18,"科技数码, 萌宠",1525067,50000,0.41,0.18,0.35,0.1,0.15,75.12,70.68170175,220454,0.0628,0.1095,3.611539568,226.8,11.1,S级
科技狗,,,6.62967E+18,"汽车, 测评, 科技数码",1505184,43000,0.45,0.04,0.5,0.22,0.19,67.55,65.20007232,11465,0.7165,0.0172,5.23453613,3750.55,8.6,A级
demi开箱,,,7.06329E+18,科技数码,1498078,33000,0.51,0.02,0.07,0.17,0.73,65.17,60,37041,0.1449,0.0141,6.148410443,890.9,6.6,B级
家电大兵,,,6.68159E+18,科技数码,1492484,150000,0.84,0.2,0.56,0.17,0.05,72.25,70.45981775,234488,0.008,0.0319,79.96144792,639.69,10.6,S级
小狮日记,,,7.08529E+18,科技数码,1486144,100000,0.49,0.31,0.27,0.06,0.02,70.76,67.3054984,18139112,0,,1E+14,5.51,7.4,A级
地瓜装修日记,,,7.16465E+18,科技数码,1478506,42000,0.49,0.03,0.06,0.05,0.85,68.73,0,12135,0.7441,0.0426,4.651341272,3461.06,5.4,B级
大表姐的安利清单,,,6.87017E+18,"测评, 科技数码",1476403,29800,0.45,0.27,0.39,0.11,0.03,52.11,60.39504026,39589,0,,2.98E+13,752.73,3.6,C级
商业评论小狮子（财经&商业）,,,6.87017E+18,财经投资,1455792,59800,0.83,0.07,0.4,0.35,0.18,74.18,71.69457583,582432,0.0268,0.0683,3.83107948,102.67,13.1,S级
找靓机,,,6.66964E+18,科技数码,1429808,14600,0.78,0.23,0.38,0.14,0.05,68.72,69.11444276,34984,0.0081,0.0309,51.52267139,417.33,9.4,A级
发烧门诊室,,,6.74781E+18,科技数码,1408299,49000,0.85,0.2,0.4,0.16,0.08,76.22,86.39705648,110788,0.0213,0.0842,20.76460883,442.29,13.6,S级
陈老爷评测,,,6.84254E+18,科技数码,1408261,50000,0.62,0.06,0.45,0.24,0.19,66.28,73.26627142,6729,0,,5E+13,7430.52,7.2,A级
科技公元,,,6.62972E+18,科技数码,14070811,220000,0.67,0.24,0.4,0.14,0.05,74.42,69.82826354,115641,0.0395,0.0552,48.16302395,1902.44,10.6,S级
影视飓风,,,6.87017E+18,"测评, 科技数码",1368127,25000,0.87,0.3,0.21,0.05,0.02,81.71,60,367934,0.044,0.0462,1.54424929,67.95,12.6,S级
盖得排行,,,6.81875E+18,"科技数码, 美食",1365815,40000,0.7,0.23,0.48,0.17,0.07,77.42,68.70075403,23384,0.0104,0.042,164.4780126,1710.57,10.6,S级
ItsH,,,6.61651E+18,科技数码,1351642,110000,0.52,0.27,0.32,0.12,0.04,52.69,64.53687775,10005,0.2332,0.0189,47.1462382,10994.5,8,A级
东南的日常,,,7.23993E+18,科技数码,1338727,42300,0.51,0.21,0.04,0.03,0.01,63.39,0,831867,0.0179,0.3694,2.840752779,50.85,9.9,A级
老师好我叫何同学,,,7.16841E+18,"测评, 科技数码",1328801,51000,0.74,0.3,0.26,0.06,0.03,76.26,0,1365184,0.0369,0.0486,1.012401128,37.36,12.6,S级
静静教主,,,6.77254E+18,科技数码,1304895,50000,0.27,0.26,0.29,0.1,0.03,69.95,69.71010342,34138,0.027,0.009,54.24605577,1464.64,6.2,B级
小宇-搞机砖家,,,6.75452E+18,科技数码,1304518,26000,0.96,0.34,0.21,0.05,0.02,76.18,71.15035076,123040,0.0176,0.1578,12.00644284,211.31,11.1,S级
猫的数码生活,,,6.83158E+18,"测评, 科技数码",1302610,50000,0.91,0.27,0.23,0.07,0.05,78.42,73.207949,222053,0.0159,0.0393,14.16172755,225.17,12.1,S级
科普宇宙,,,6.88295E+18,艺术文化,1302329,16000,0.76,0.14,0.34,0.17,0.13,85.57,71.17527665,94014,0.0169,0.256,10.07026147,170.19,11.1,S级
画渣阿码 •᷄ࡇ•᷅,,,7.20698E+18,科技数码,129226,22000,0.65,0.23,0.39,0.07,0.1,74.34,0,169857,0.0137,0.0658,9.454066751,129.52,11.1,S级
老贺的科技,,,6.67785E+18,科技数码,1268610,30000,0.75,0.22,0.43,0.19,0.06,73.87,58.73567899,16346,0.0913,0.0357,20.10198676,1835.31,9.6,A级
阿诺Action,,,6.67451E+18,科技数码,1254696,130000,0.62,0.16,0.28,0.14,0.22,65.12,46.98819546,6980377,0.0093,0.132,2.002541499,18.62,12.4,S级
迈达思-系子期吖～,,,6.62972E+18,科技数码,1240197,38000,0.65,0.08,0.47,0.23,0.11,44.47,39.35180271,2834,0,,3.8E+13,13408.61,4.6,C级
造梦小懿,,,7.12813E+18,科技数码,122375,20000,0.95,0.24,0.47,0.1,0.02,71.12,0,366265,0.028,0.056,1.950188291,54.61,12.6,S级
造梦小懿,,,7.12813E+18,科技数码,122375,20000,0.95,0.24,0.47,0.1,0.02,71.12,0,366265,0.028,0.056,1.950188291,54.61,12.6,S级
阿正很硬,,,6.77691E+18,科技数码,1190781,53000,0.87,0.23,0.33,0.12,0.08,78.3,72.12727273,400909,0.0118,0.0433,11.20335394,132.2,10.6,S级
科技曼,,,6.96464E+18,科技数码,1173127,17500,0.57,0.31,0.3,0.08,0.03,68.8,88.6247104,20256,0.0348,0.1042,24.82590656,863.94,12.4,S级
小教程,,,7.08003E+18,科技数码,1158802,30000,0.61,0.24,0.45,0.15,0.05,79.4,71.05027125,42767,0.0098,0.1616,71.57912619,701.48,10.6,S级
驭龙,,,6.67458E+18,科技数码,1147684,25000,0.85,0.29,0.41,0.1,0.03,53.78,70.52218847,149926,0,,2.5E+13,166.75,5.6,B级
张教主测评,,,6.8296E+18,"测评, 科技数码",1140358,30800,0.22,0.07,0.44,0.22,0.17,76.4,74.74921215,11672,0.0546,0.0051,48.32955484,2638.79,8,A级
友人朦,,,7.07969E+18,"测评, 科技数码",1120748,55000,0.71,0.36,0.28,0.05,0.02,78.77,75.64756882,95987,0.0223,0.0416,25.69480985,572.99,11.6,S级
王大林_,,,7.23844E+18,科技数码,1113788,36000,0.71,0.11,0.42,0.23,0.14,72.7,0,44390,0.0274,0.704,29.59830172,810.99,9.6,A级
啵妞不会飞,,,7.03915E+18,科技数码,111323,13600,0.15,0.43,0.28,0.04,0.03,64.53,60,13853,0.0115,0.0614,85.36841808,981.74,6.4,B级
啵妞不会飞,,,7.03915E+18,科技数码,111323,13600,0.15,0.43,0.28,0.04,0.03,64.53,60,13853,0.0115,0.0614,85.36841808,981.74,6.4,B级
镇海,,,6.86292E+18,科技数码,1102034,75000,0.64,0.39,0.31,0.06,0.03,74.43,67.51677867,98201,0.0267,0.1948,28.60448228,763.74,10.6,S级
不打诳语,,,6.9538E+18,"测评, 科技数码",1096663,55800,0.9,0.15,0.2,0.1,0.08,70.77,76.69480379,1177340,0,,5.58E+13,47.39,8.4,A级
柳刀刀,,,6.71766E+18,"旅行, 汽车, 科技数码",1079227,26250,0.71,0.09,0.39,0.24,0.15,47.5,41.92683931,5546,1,0.0351,4.733141003,4733.14,8.8,A级
印象科技派,,,6.6601E+18,科技数码,1077026,20000,0.73,0.22,0.45,0.16,0.06,71.63,61.92853221,57382,0.0044,0.1434,79.21394419,348.54,8.4,A级
饿馒头,,,6.6748E+18,"测评, 科技数码",1074790,88000,0.55,0.16,0.38,0.18,0.11,58.65,67.92317205,613098,0.0473,0.1343,3.034531374,143.53,11.3,S级
柯基数码,,,6.67299E+18,科技数码,1059582,50000,0.77,0.13,0.33,0.2,0.09,56.28,60.98371157,19165,0,,5E+13,2608.92,4.6,C级
西米好宅,,,6.87017E+18,科技数码,1056414,65000,0.28,0.34,0.37,0.08,0.04,73.51,91.47981485,346457,0.0261,0.1146,7.188255558,187.61,12.6,S级
是麦麦家,,,6.85407E+18,科技数码,1050887,40000,0.33,0.07,0.56,0.15,0.2,69.27,53.69672184,7766,0.39,0.0106,13.20681207,5150.66,6.2,B级
杨长顺维修家,,,6.85453E+18,"测评, 科技数码",1049939,19500,0.96,0.27,0.46,0.12,0.03,81,67.68499705,458821,0.0137,0.0741,3.102206883,42.5,13.6,S级
钱公子,,,6.62966E+18,科技数码,1047650,29000,0.49,0.18,0.41,0.2,0.16,67.16,60.56414714,6002,0.6403,0.3625,7.54602961,4831.72,7.4,A级
沪漂少女灵芝,,,6.71127E+18,"生活, 科技数码, 美妆",1043871,60000,0.24,0.33,0.23,0.06,0.07,77.55,88.15943444,151083,0.055,0.0759,7.22059458,397.13,12.6,S级
托尼聊科技,,,6.77092E+18,科技数码,1032584,85000,0.84,0.19,0.4,0.15,0.09,81.75,69.95340999,161833,0.0166,0.1233,31.64053022,525.23,10.6,S级
张大头同学,,,6.71874E+18,科技数码,1027693,45700,0.91,0.25,0.26,0.08,0.04,86.2,74.41433427,513828,0.015,0.1685,5.929351197,88.94,13.1,S级
大饼科技圈,,,7.26628E+18,"测评, 科技数码",1023093,35600,0.8,0.04,0.28,0.38,0.3,48.57,0,4421,1,0.0155,8.052476815,8052.48,7,B级
冲哥手机维修,,,6.92114E+18,科技数码,1022805,23400,0.93,0.25,0.42,0.13,0.05,75.57,86.18765919,173025,0.013,0.0493,10.40312094,135.24,14.6,S级
瑞贝卡姓周,,,6.69297E+18,科技数码,1014553,21400,0.7,0.22,0.4,0.17,0.06,60.33,43.01450403,30518,0.0184,0.131,38.11008186,701.23,8.4,A级
肉脸静怡酱,,,6.62966E+18,科技数码,1012801,28000,0.42,0.12,0.17,0.11,0.12,83.78,57.96573023,1872952,0.0476,0.3144,0.314068537,14.95,10.6,S级
先看评测,,,7.12456E+18,"测评, 科技数码",1010502,50000,0.92,0.32,0.41,0.09,0.02,80.74,67.70886996,121686,0.0195,0.1434,21.07146725,410.89,10.6,S级
摄影师吴云龙,,,7.08856E+18,科技数码,1006834,25100,0.65,0.26,0.38,0.12,0.08,74.22,60,140970,0.0142,0.0275,12.53887802,178.05,9.3,A级
柚柚子的vlog日记,,,6.81031E+18,"旅行, 生活, 科技数码",1006108,38000,0.56,0.04,0.49,0.24,0.19,43.93,55.53808304,6410,1,0.0601,5.928237129,5928.24,8.8,A级
之一家,,,7.03443E+18,科技数码,1004254,39800,0.58,0.3,0.38,0.07,0.12,60.09,71.79995107,22320,0.1128,0.0309,15.80810392,1783.15,9.9,A级
发布会开始了,,,6.86551E+18,科技数码,1003499,55800,0.89,0.15,0.25,0.13,0.1,80.06,72.41505619,232721,0.0197,0.078,12.17117196,239.77,10.1,S级
遵聪影剧,,,7.07861E+18,科技数码,445941,2900,0.93,0.16,0.48,0.22,0.08,80.2,69.50351834,58666,0.0023,0.1399,21.49233909,49.43,10,S级
阿金驾道,,,6.66812E+18,旅行,9745093,240000,0.56,0.09,0.47,0.18,0.23,68.89,71.29033051,154705,0.0071,0.0571,218.4985417,1551.34,8.6,A级
幻想家japaul,,,6.59668E+18,旅行,8950054,155000,0.5,0.13,0.44,0.14,0.19,67.36,70.55787951,197415,0.0398,0.1228,19.72733765,785.15,9.9,A级
孙大野,,,6.80884E+18,旅行,892877,42700,0.51,0.25,0.43,0.15,0.06,73.81,67.75727052,98945,0.019,0.0506,22.71330963,431.55,10.6,S级
羊毛月,,,6.91904E+18,旅行,8779068,320000,0.28,0.21,0.25,0.09,0.07,87.02,71.8376743,7377646,0.0448,0.044,0.968175641,43.37,11.6,S级
一口吃掉瑶宝,,,6.87017E+18,旅行,870039,70000,0.09,0.24,0.47,0.14,0.06,64.5,0,16336,0.2619,0.0443,16.36126266,4285.01,6.9,B级
乡妹朱朱-12月30日上午10点跨年狂欢,,,6.9635E+18,"旅行, 母婴亲子",8649418,200000,0.31,0.05,0.17,0.24,0.53,81.26,75.06253148,1489731,0.0193,0.1397,6.95608422,134.25,10.1,S级
JR徒手健身阿斌,,,6.67449E+18,旅行,861493,11400,0.79,0.15,0.39,0.19,0.11,75.19,81.75322196,43992,0.0108,0.3345,23.99426158,259.14,11.6,S级
笑男姐姐🎀,,,6.87017E+18,旅行,859091,40000,0.62,0.03,0.12,0.22,0.62,55.88,67.94115235,28485,0.6621,0.1834,2.120899939,1404.25,8.8,A级
西蒙-,,,6.82556E+18,"旅行, 颜值达人",853648,100000,0.35,0.36,0.33,0.08,0.02,70.79,66.44476422,49790,0.4257,0.0138,4.717959664,2008.44,9.3,A级
洛杉矶嬴政W,,,6.77664E+18,旅行,8482259,299800,0.55,0.24,0.3,0.1,0.05,78.05,70.49373689,1884588,0.0354,0.202,4.493781428,159.08,11.6,S级
街头番茄仔,,,6.83528E+18,"旅行, 生活",827940,28806,0.66,0.34,0.36,0.09,0.03,75.5,67.95731944,588954,0.0143,0.0886,3.420310575,48.91,13.6,S级
itsRae,,,6.59668E+18,旅行,8247817,360000,0.38,0.4,0.22,0.05,0.01,57.08,65.09325233,0,0,,3.6E+14,,4.1,C级
梦想家阿娇,,,7.2548E+18,旅行,8232648,200000,0.39,0.23,0.54,0.12,0.03,73.29,0,61890,0.0348,0.0325,92.86033991,3231.54,8.1,A级
李乐,,,6.89646E+18,旅行,802584,98000,0.57,0.13,0.52,0.2,0.08,70.75,55.05151903,34574,0.0727,0.0178,38.98899468,2834.5,8.8,A级
长安范儿——人文地理,,,6.84636E+18,旅行,7952139,68000,0.73,0.24,0.46,0.16,0.06,74,71.8116357,527672,0.0704,0.028,1.830510413,227.41,11.8,S级
邱奇遇,,,7.04896E+18,旅行,7899460,280000,0.41,0.29,0.19,0.06,0.03,73.7,67.54422748,1585461,0.0671,0.0822,2.631964018,176.6,11.1,S级
小央贝拉,,,7.19503E+18,旅行,744088,60000,0.78,0.15,0.54,0.21,0.07,62.35,0,7823,0.6305,0.1121,12.16445985,7669.69,8.9,A级
行走世界的北京老刘,,,6.68091E+18,旅行,661645,16600,0.49,0.07,0.24,0.26,0.42,72.77,72.2194113,28420,0.0407,0.0749,14.35124588,584.1,7.1,A级
一个阿阳,,,6.70124E+18,才艺技能,654834,146000,0.66,0.35,0.27,0.09,0.03,64.45,63.18626464,194215,0.1341,0.0038,5.605847882,751.74,8.8,A级
执念的旅行,,,6.85987E+18,旅行,646110,20000,0.58,0.13,0.43,0.24,0.16,64.35,65.57833883,15007,0.0255,0.1306,52.26319221,1332.71,9.4,A级
王太琼,,,6.62966E+18,"旅行, 颜值达人",538634,40000,0.87,0.25,0.39,0.13,0.06,66.88,56.45433748,7871,0.0706,0.0525,71.98224342,5081.95,8.4,A级
旅哈哈,,,6.82509E+18,旅行,528817,18000,0.33,0.07,0.43,0.2,0.25,62.05,66.21494971,4895,0.1351,0.0406,27.21851706,3677.22,7.9,A级
黄山杨先生,,,7.11684E+18,旅行,521663,13600,0.47,0.05,0.24,0.27,0.43,66.54,60,13382,0.0146,0.1638,69.60894106,1016.29,5.9,B级
玲玲ALin,,,6.85222E+18,旅行,4634772,50000,0.77,0.03,0.18,0.27,0.51,81.74,84.97361605,538874,0.0076,0.0557,12.20869325,92.79,12.3,S级
橙汐说车~,,,7.20895E+18,旅行,4628884,100000,0.52,0.03,0.2,0.28,0.48,54.33,0,43142,0.2745,0.019,8.444177946,2317.93,6.5,B级
抽抽,,,6.75348E+18,颜值达人,4610859,100000,0.87,0.26,0.17,0.05,0.04,83.4,73.76106169,1282285,0.0548,0.2691,1.423098233,77.99,14.1,S级
大龙来了,,,6.7246E+18,旅行,4498978,160000,0.74,0.27,0.49,0.13,0.03,79.04,66.87021046,213507,0.0096,0.1303,78.0614531,749.39,10.6,S级
济公董锋乐游,,,6.9605E+18,生活,4491471,8000,0.68,0.08,0.27,0.27,0.36,73.3,68.59670039,82242,0.0175,0.1408,5.558508513,97.27,11.1,S级
粤探,,,6.68856E+18,美食,437631,18000,0.65,0.23,0.43,0.19,0.07,77.19,65.26973313,81748,0.0191,0.0684,11.52821325,220.19,11.1,S级
杨晤玖,,,6.85579E+18,"旅行, 时尚, 母婴亲子",4262821,70000,0.58,0.13,0.42,0.29,0.14,55.4,65.4844085,590836,0.0971,0.0589,1.220146169,118.48,11.3,S级
户外小北,,,6.76954E+18,"旅行, 运动健身, 随拍",4206153,66000,0.78,0.21,0.43,0.19,0.09,83.04,67.02745353,2933205,0.0078,0.0588,2.884741592,22.5,13.8,S级
丽丽旅游,,,6.70003E+18,旅行,4175633,60000,0.68,0.06,0.24,0.25,0.43,80.87,62.88616398,1093002,0.0125,0.0869,4.391574764,54.89,10.6,S级
Daisy,,,6.8534E+18,旅行,413647,20400,0.5,0.15,0.53,0.19,0.09,60.44,67.11562316,10900,0.0179,0.0319,104.5564041,1871.56,9.4,A级
小鑫cc,,,7.04822E+18,"旅行, 汽车",4113755,100000,0.61,0.02,0.15,0.27,0.55,49.13,0,54943,0.4146,0.0311,4.389937459,1820.07,6.8,B级
旅行家Jason,,,6.79997E+18,"旅行, 汽车",4091169,100000,0.54,0.19,0.27,0.12,0.1,67.16,68.37616981,23760,0.5154,0.0096,8.165995748,4208.75,9.2,A级
小萌逛北京,,,7.04055E+18,"旅行, 艺术文化",4043047,53600,0.56,0.12,0.39,0.24,0.2,87.3,91.97412309,916218,0.0096,0.0962,6.093891774,58.5,15.6,S级
汪梦云,,,6.63663E+18,旅行,3979153,150000,0.56,0.34,0.41,0.08,0.03,71.09,69.87681348,117469,0.1855,0.0163,6.883733895,1276.93,10.8,S级
苏雅同学,,,7.25738E+18,"旅行, 汽车",397284,35000,0.74,0.11,0.42,0.27,0.17,73.45,0,12946,0.0679,0.07,39.81646204,2703.54,9.6,A级
何香蓓Betty,,,6.71288E+18,"旅行, 生活, 颜值达人",3881034,260000,0.41,0.32,0.24,0.05,0.02,77.8,66.12976061,1173380,0.0674,0.1188,3.287568192,221.58,11.1,S级
背包走遍中国,,,6.76566E+18,旅行,3854269,80000,0.68,0.22,0.46,0.19,0.06,66.57,65.05285311,93097,0,,8E+13,859.32,6.2,B级
藏锋Kevin,,,6.76288E+18,"旅行, 汽车",3851687,71000,0.73,0.23,0.45,0.16,0.07,76.45,69.92804658,368319,0.0292,0.1144,6.601632958,192.77,11.6,S级
长江观光旅行,,,7.08043E+18,旅行,3819463,13100,0.69,0.03,0.17,0.24,0.54,73.99,60,83476,0.0154,0.0804,10.19034633,156.93,8.6,A级
晨哥的脚印（准备去冰岛看极光中~）,,,6.9532E+18,艺术文化,3802927,91100,0.21,0.1,0.41,0.28,0.19,85.17,69.95831235,599589,0.012,0.1132,12.66145087,151.94,9.1,A级
芦星樾的刘阿姨,,,6.74106E+18,旅行,3747847,70000,0.76,0.33,0.32,0.08,0.02,71.04,67.95440804,785427,0,,7E+13,89.12,7.9,A级
奇迹ᴹ,,,6.75842E+18,旅行,3734805,18000,0.48,0.05,0.21,0.23,0.5,61.84,67.82085774,206061,0.0123,0.4912,7.101851559,87.35,8.4,A级
匠游,,,6.72089E+18,旅行,3715075,70800,0.59,0.22,0.38,0.14,0.07,72.21,70.45090764,291001,0.0226,0.0842,10.76540411,243.3,11.1,S级
户外旅游小强,,,7.22514E+18,旅行,341146,10600,0.53,0.09,0.31,0.24,0.34,77.24,0,172120,0.0092,0.3345,6.694015298,61.58,11.6,S级
米花,,,6.96579E+18,旅行,335018,20000,0.48,0.24,0.1,0.03,0.01,71.98,66.66062769,173678,0.0555,0.1429,2.074876267,115.16,11.1,S级
黑子漫游记,,,6.93089E+18,旅行,322869,62800,0.72,0.32,0.22,0.05,0.04,65.49,71.68003252,22236,0.2724,0.0278,10.36802117,2824.25,9.1,A级
七哥和露露,,,7.15047E+18,旅行,320920,7750,0.72,0.1,0.33,0.3,0.26,73.19,60,99301,0.0301,0.0431,2.592875027,78.05,12.1,S级
从一,,,7.16881E+18,旅行,315450,20000,0.53,0.39,0.36,0.04,0.01,,,0,0,,2E+13,,4,C级
大军在路上,,,6.67528E+18,旅行,300875,35000,0.71,0.19,0.44,0.22,0.1,,,0,0,,3.5E+13,,4,C级
陈酥肥不能再宅了,,,6.9593E+18,旅行,300404,3900,0.69,0.13,0.36,0.23,0.21,79.08,69.64660469,12851,0.0063,0.0216,48.17116326,303.48,9,A级
边亦然,,,6.59668E+18,旅行,2969028,40000,0.43,0.12,0.48,0.18,0.14,59.27,66.5741014,8768,0.1423,0.0836,32.05933799,4562.04,7.3,A级
旅行收藏家Like✨,,,6.95748E+18,"旅行, 汽车",2955507,71600,0.64,0.3,0.29,0.07,0.05,66.46,68.49812685,55416,0.1212,0.0307,10.6604424,1292.05,9.9,A级
郑义：荒野三见客之老木仓,,,7.06972E+18,旅行,2952889,500000,0.84,0.2,0.44,0.21,0.08,65.06,65.65823389,115796,0.0118,0.092,365.9269867,4317.94,9.4,A级
豫小熊（环华摩旅中）,,,6.77622E+18,旅行,294168,2800,0.92,0.09,0.35,0.32,0.2,73.8,71.50923555,19551,0.0218,0.1279,6.569503707,143.22,12.1,S级
暴走夫妻,,,6.67475E+18,旅行,2940255,120000,0.61,0.16,0.41,0.25,0.15,51.33,67.35150792,53865,0.4948,0.0295,4.502408451,2227.79,9,A级
林振皓,,,6.84524E+18,旅行,2935202,75000,0.86,0.02,0.08,0.2,0.69,64.72,62.9157372,769946,1,0.0293,0.097409429,97.41,8.1,A级
鸿飞逛吃玩,,,6.87016E+18,旅行,293497,4000,0.73,0.12,0.53,0.19,0.11,72.48,62.166148,14738,0.0348,0.022,7.79905881,271.41,9.8,A级
蓝战非,,,6.65175E+18,旅行,2934718,48500,0.82,0.24,0.26,0.14,0.05,80.24,66.25500832,1059015,0.0211,0.1401,2.170486914,45.8,13.6,S级
耀阳环游记,,,6.83069E+18,旅行,2932564,100000,0.67,0.16,0.42,0.22,0.13,74.95,67.33974645,357012,0.0241,0.0724,11.62251575,280.1,11.1,S级
暴走兄弟,,,6.7232E+18,旅行,2917572,130000,0.62,0.24,0.44,0.16,0.06,72.63,66.25429956,158819,0.0299,0.0214,27.37598201,818.54,9.8,A级
欣宇的日记,,,6.87017E+18,"旅行, 汽车",2912363,60000,0.79,0.02,0.07,0.14,0.75,50.68,0,10748,1,0.0734,5.582433941,5582.43,6.8,B级
初一,,,6.62966E+18,旅行,2885294,158000,0.48,0.24,0.4,0.15,0.07,52.79,65.34845592,38124,0.2696,0.024,15.37229599,4144.37,7.5,A级
新偶娱乐,,,6.87017E+18,"测评, 美妆",2861342,17100,0.4,0.09,0.29,0.19,0.37,82.82,68.52293339,29826,0.0194,0.3253,29.55284983,573.33,8.1,A级
江湖侠探,,,7.05222E+18,"旅行, 汽车",2850736,16000,0.94,0.14,0.45,0.26,0.12,81.93,75.0796555,128859,0.0063,0.037,19.70900395,124.17,11.8,S级
二娃千里看世界,,,6.69449E+18,旅行,2834581,150000,0.57,0.22,0.45,0.17,0.07,74.02,67.22600709,34246,0.2133,0.0461,20.53480349,4380.07,10.6,S级
叶云同学,,,6.80242E+18,旅行,2820707,120000,0.64,0.22,0.41,0.16,0.07,63.89,54.92404832,101701,0.0342,0.0404,34.50085968,1179.93,8.4,A级
陈老师估车,,,7.15201E+18,旅行,2817109,50000,0.91,0.11,0.41,0.31,0.15,85.16,89.1199977,257722,0.0095,0.129,20.42184173,194.01,13.6,S级
非凡小龙哥,,,7.27743E+18,"旅行, 汽车",2813794,120000,0.62,0.12,0.43,0.24,0.13,65.18,0,11720,0.0069,0.0686,1483.899688,10238.91,7.6,A级
大霖Darling,,,6.80847E+18,旅行,2800589,58000,0.89,0.19,0.5,0.2,0.07,74.09,65.53290979,392382,0.0225,0.1008,6.569561748,147.82,12.1,S级
阿杰旅行记,,,6.99469E+18,旅行,278028,2000,0.63,0.12,0.5,0.24,0.11,,,0,0,,2E+12,,4,C级
江湖甄有趣,,,6.97291E+18,旅行,276994,9100,0.37,0.07,0.35,0.13,0.44,63.13,65.66617501,24832,0.0181,0.0772,20.24655408,366.46,7.9,A级
最美无锡,,,6.85456E+18,旅行,275795,6450,0.5,0.18,0.45,0.2,0.12,69.75,68.53470134,17899,0.009,0.1,40.03948079,360.36,9.4,A级
胡正阳,,,6.62966E+18,"旅行, 汽车",269846,50000,0.96,0.36,0.46,0.08,0.02,,,0,0,,5E+13,,4,C级
星鑫影视,,,6.85384E+18,"旅行, 汽车",2688175,0,0.59,0.09,0.34,0.28,0.25,75.35,80.30600924,17927,0.0076,0.0636,0,,12.8,S级
凌教绶,,,7.10567E+18,"旅行, 测评",261151,12000,0.76,0.25,0.39,0.12,0.06,,,0,0,,1.2E+13,,4,C级
石家庄游玩,,,6.86443E+18,旅行,259786,10000,0.51,0.17,0.47,0.17,0.06,,,0,0,,1E+13,,4,C级
小孔旅游,,,7.1404E+18,"旅行, 艺术文化",259014,10100,0.48,0.16,0.34,0.16,0.3,,,0,0,,1.01E+13,,3,C级
哪吒逛宜宾,,,7.06043E+18,"旅行, 美食",258454,7000,0.56,0.02,0.07,0.07,0.83,,,0,0,,7E+12,,2,C级
叶辰💔和平精英,,,6.8248E+18,"旅行, 汽车",2548190,30900,0.64,0.17,0.45,0.12,0.15,71.66,68.69269567,73110,0.0147,0.0945,28.75175511,422.65,10.6,S级
走遍5A景区,,,7.14022E+18,旅行,251068,7800,0.77,0.07,0.34,0.3,0.28,63.76,60,32692,0.0171,0.0816,13.9526597,238.59,8.9,A级
伊万Yvonne,,,6.87017E+18,旅行,250808,10000,0.38,0.03,0.52,0.23,0.2,,,0,0,,1E+13,,2.5,C级
大表哥旅行记,,,7.11087E+18,旅行,248177,8800,0.55,0.08,0.3,0.24,0.36,,,0,0,,8.8E+12,,3,C级
